id,provider,transactionHash,tokenBefore,tokenAfter,amountRaw,amountWETHAfter,conversionRate,reason
"0x5c8bb3ee79c726945fe142694c9bca2bf68502239d3d7c03a2a796a668bca04c-5-0","0x205f1c1ff61eec1d8138c665b827914316874262","0x5c8bb3ee79c726945fe142694c9bca2bf68502239d3d7c03a2a796a668bca04c","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","10000000","0.00000000001","1.00000","swapped-token"
"0x5c8bb3ee79c726945fe142694c9bca2bf68502239d3d7c03a2a796a668bca04c-5-1","0x205f1c1ff61eec1d8138c665b827914316874262","0x5c8bb3ee79c726945fe142694c9bca2bf68502239d3d7c03a2a796a668bca04c","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","2908","0.0000000000000035503030678672876","1.2208745075197","conversion-applied"
"0x5c8bb3ee79c726945fe142694c9bca2bf68502239d3d7c03a2a796a668bca04c-5-2","0x205f1c1ff61eec1d8138c665b827914316874262","0x5c8bb3ee79c726945fe142694c9bca2bf68502239d3d7c03a2a796a668bca04c","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","0xa3d68b74bf0528fdd07263c60d6488749044914b","32808723905687","0.00003552987946642467978","1.0829400000000","swapped-token"
"0x6a9314ee7d2d9da62ebb3a2804e9151d5be447eb32c0a8d55b79aef9961450c0-6-0","0x1e9afe667ec57d3f79fef73e4a324801fc5c4dfe","0x6a9314ee7d2d9da62ebb3a2804e9151d5be447eb32c0a8d55b79aef9961450c0","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","12305873315","0.000000012305873315","1.00000","swapped-token"
"0x6a9314ee7d2d9da62ebb3a2804e9151d5be447eb32c0a8d55b79aef9961450c0-6-1","0x1e9afe667ec57d3f79fef73e4a324801fc5c4dfe","0x6a9314ee7d2d9da62ebb3a2804e9151d5be447eb32c0a8d55b79aef9961450c0","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","3578548","0.0000000000043689580271356073956","1.2208745075197","conversion-applied"
"0x6a9314ee7d2d9da62ebb3a2804e9151d5be447eb32c0a8d55b79aef9961450c0-6-2","0x1e9afe667ec57d3f79fef73e4a324801fc5c4dfe","0x6a9314ee7d2d9da62ebb3a2804e9151d5be447eb32c0a8d55b79aef9961450c0","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","0xa3d68b74bf0528fdd07263c60d6488749044914b","40374000000000000","0.04372261956","1.0829400000000","swapped-token"
"0xc5f4dff17ffdbada8a23b6e131b773100c5ee4c8247c9e4fb7f2486d44864393-3-0","0xcd07799e9e01c02c3b569cd42f3729713639081c","0xc5f4dff17ffdbada8a23b6e131b773100c5ee4c8247c9e4fb7f2486d44864393","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","1000000000000000","0.001","1.00000","swapped-token"
"0x9d0b60c5452f8c0b837e44479ca053a6c31da48a5ccbd9d6b9b7e42fa6f0b3c3-6-0","0x1e9afe667ec57d3f79fef73e4a324801fc5c4dfe","0x9d0b60c5452f8c0b837e44479ca053a6c31da48a5ccbd9d6b9b7e42fa6f0b3c3","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","245092601420","0.00000024509260142","1.00000","swapped-token"
"0x9d0b60c5452f8c0b837e44479ca053a6c31da48a5ccbd9d6b9b7e42fa6f0b3c3-6-1","0x1e9afe667ec57d3f79fef73e4a324801fc5c4dfe","0x9d0b60c5452f8c0b837e44479ca053a6c31da48a5ccbd9d6b9b7e42fa6f0b3c3","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","281807548918234","0.00034405165250088270123","1.2208745075197","conversion-applied"
"0x9d0b60c5452f8c0b837e44479ca053a6c31da48a5ccbd9d6b9b7e42fa6f0b3c3-6-2","0x1e9afe667ec57d3f79fef73e4a324801fc5c4dfe","0x9d0b60c5452f8c0b837e44479ca053a6c31da48a5ccbd9d6b9b7e42fa6f0b3c3","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","0xa3d68b74bf0528fdd07263c60d6488749044914b","74762000000000000","0.08096276028","1.0829400000000","swapped-token"
"0x615b3ff6ed5fd42addc835d62d731194974dd3ed666dae9953bc5a360f9d1f56-3-0","0x205f1c1ff61eec1d8138c665b827914316874262","0x615b3ff6ed5fd42addc835d62d731194974dd3ed666dae9953bc5a360f9d1f56","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","100000000000000","0.0001","1.00000","swapped-token"
"0x54520471a55e72357b0e295159841ee577769062a10580715ee30e0669bc9b08-8-0","0x69b235c1c3f16f828b2394193a7abea79ee40c07","0x54520471a55e72357b0e295159841ee577769062a10580715ee30e0669bc9b08","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","2150948099487667","0.002150948099487667","1.00000","swapped-token"
"0x54520471a55e72357b0e295159841ee577769062a10580715ee30e0669bc9b08-8-1","0x69b235c1c3f16f828b2394193a7abea79ee40c07","0x54520471a55e72357b0e295159841ee577769062a10580715ee30e0669bc9b08","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","438488516294549","0.00053533945138415145908","1.2208745075197","conversion-applied"
